순번,민원제목,민원내용,민원등록일,민원수정일,민원답변일,처리부서,진행상태,구
124,(SPP-1710-1900210)줄포면239 가로등 고장 * 첨부파일촬영시간 안내(안,전라북도 부안군 상서면 고잔리 207-7 가로등고장*  *(1/1) C: 2017/10/10 16:25:59G:*,2017-10-19,,2017-10-23,줄포면,처리완료,보안면
125,집앞 도로가 넘~~~위험해요,작년 4~5월경 민원올린 시민인데요....집앞 도로확장을 올해는 꼭 해주세요작년에 약속하셨으니 믿고 있겠습니다.올해 또 농번기가 시작되면 공사를 못하니 빠른 해결 부탁드립니다.작년 겨울에도 눈길에 차가 미끄러져 빠지면서 큰 사고로 이어질 뻰 했습니다.익산시 망성면 화산리 상포 마을 도로....,2016-03-17,2016-03-17,,,처리완료,계화면
126,가로등소등,전라북도 부안군 변산면 격포리 750부안두포마을 갯벌체험장은 수시인사사고가 많이나는 지역이라고 경고하면서 위반시는3천만원의 벌금도 낸다는 입간판이 설치되있는 지역입니다 이저역에 부안군에서는 갯벌 체험지역으로 허가를 해주고있습니다 이런 두가지 조건은 논리에 맞지안습니다 두가지중 한가지는 취소되어야합니다,2017-03-27,,2017-05-10,부안읍,처리완료,부안읍
127,(안전보안관)(SPP-1806-2600158)인도위 물건좀 치워주세요 * 첨부파일촬영시간 안내(안,전라북도 부안군 부안읍 동중리 91-1하수구 위 물건좀 치워주세요*  *(1/1) C: 2018/06/26 09:42:31G:  *,2018-06-26,,2018-07-04,친환경축산과,처리완료,변산면
128,(SPP-1708-0700555)가로등미등 * 첨부파일촬영시간 안내(안전신문고 운영관,5일 토요일 밤입니다저는 아기가 아퍼 무안군청에 물었는데응대가 너무기분이 안 좋아 이거 너무한다고 이야기 해 저는 이상황 너무 기분이 아니다고 하면 법적으로민윈처리사무규칙에 따라 해달라고 하니 내가 먼 잘못 있냐고 하는데 법적으로 민원으로 잘못이 없으면 회신하면 되는데 왜하냐고 하고 그리고 법적사항으로 알고 있는데 권익도 그렇게 하면 계속 이야기하겠음법은확실할것으로,2017-08-07,,2017-08-14,부안읍,처리완료,부안읍
129,무인민원발급기,"안녕하세요? 경유차량 조기폐차 합니다~상반기에 확인을 못해서 신청을 못했는데요, 하반기에 추경확보되면 공고 예정이라고 하셨는데언제쯤 확인하면 되나요오?그리고 몇년 전부터 시행 된걸로 알고 있는데요, 고시 공고나 환경정책과 알림마당에도 상반기 시행 관련 안내가 없는이유는 무엇인가요? 신청은 다운받아서 제출하라고 되있는데 전에 탑재 된 자료등이 없네요.확인 부탁드리고요. 신청 기간이 언제쯤인지 확인 부탁드립니다~ 더운데 수고하시고, 고맙습니다",2018-09-22,2018-09-22,,,처리중,줄포면
130,농기계및 부모님 산소진입로 방해물 설치,안녕하세요 고생 많으십니다.다름이아니라 원광대학교 병원 맞은편대학종로약국(북일초등학교 버스 승강장)동서로19길에서 우회전하면서 택시들이 그대로 멈춰서 승객을 태우기 위하여 정차하고 있는 경우가 몇 달째 그대로입니다.신호등을 막아서 보행자의 흐름을 방해함은 물론뒷차의 흐름도 막고 크락션소리가 나게 하는 원인이기도 한데 표지판에는 말로만 단속한다고 되어있고 단속 하는걸 본 적이 없네요.단속을 하고 계신다면 더욱 강화해주시거나그것이 힘들다면 안전을 위하여 빠른시일 내에 택시 승강장이 만들어져야 하지 않을까요?  두개다 힘들다면 사측과 이야기하여 그쪽에 불법 주정차가 이루어 지지않도록 했으면 합니다.교묘하게 5분을 넘기지않고 차를 뺀다거나 해서 안전위험이 사라지는게 아닙니다 거기 서잇는 택시만 평균 3대씩은 서있습니다. 빠르게 시정 부탁드립니다.,2017-04-01,2017-04-03,2017-04-07,도로공원과,처리완료,줄포면
131,(SPP-1801-1900258)횡단보도 주차 * 첨부파일촬영시간 안내(안전신문고 운,전라북도 부안군 동진면 안성리 131-6가로등 동진면 354번 불이안들어와요*  *(1/1) G: 2017/09/26 18:10:05G:*,2018-01-19,,2018-01-29,건설교통과,처리완료,진서면
132,경암철길마을관광에서,전주시청 홈페이지 행정조직도에 팩스번호 표기해 주세요,2017-04-05,2017-04-10,,관광진흥과,처리중,동진면
133,하수도 공사 관련,"1. 귀 기관의 일익 건승을 기원합니다.2. 민원인 본인은 아래 기술 될 사실 관계를 확인하고 행정당국의 부당한 업무 처리에 대한 피해를 구제 받고 그 피해의 사실과 기관의 부당 및 불법행위가 확인되면 관련자 및 그 기관의 징계를 요청하고자 국민신문고를 통하여 민원 하오니 유관 부서의 적극적인 검토와 즉각적인 조치 바랍니다.3. “주민등록전산자료 열람기록내역조회”를 통하여(2017.11.30. 부안읍사무소 제출분) 알게된 사실 중 본인의 의지와 무관하게 처리가 진행된 내역을 아래와 같이 나열 하오니 확인하고 처리하여 주십시오. -2017.07.05. (기관)전북 부안군 부안읍 (담당자)강석건 (업무명)주민등록등초본발급-2017.07.05. (기관)전북 부안군 부안읍 (담당자)강석건 (업무명)통합전출입-2017.07.05. (기관)전북 부안군 부안읍 (담당자)강석건 (업무명)주민등록등초본발급-2017.07.05. (기관)전북 부안군 부안읍 (담당자)강석건 (업무명)증주소변경라벨출력-2017.08.02. (기관)전북 부안군 부안읍 (담당자)강석건 (업무명)주민등록등초본발급-2017.08.02. (기관)전북 부안군 부안읍 (담당자)강석건 (업무명)주민등록등초본발급→민원인 주장 : 초본발급, 라벨출력, 전/출입 신고 요청한 적 없으며 위임 사실 없음→민원인 요청 : 발급 당시 신청서류 원본 또는 ‘원본대조필’한 사본 우편 송부 요청(수신처 하단 기재)4. 민원인은 상기 사실을 인지한 날로부터 오늘에 이르기까지 각고의 노력으로 행정당국의 부당함에 맞서고 그릇 됨을 바로 잡고자 수사기관에 제출할 “발급당시 신청서류”를 열람 및 사본 반출을 수차례 전화 요청은 물론, 직접 내방하여 사실 관계를 확인하려는 조치를 취하였습니다. 하지만 번번히 처리 담당자의 부재를 사유로 관련 서류의 제출을 거부하였습니다. 이 또한 납득할 수 없는 처사이며 온당치 못한 행위라 사료됩니다. 그리고 상기 나열 사실이 사실이라면 제3자가 민원인에 대한 개인정보 침해 또는 그에 준하는 강탈 행위라 생각되며 그 기관은 이에 동조하여 민원인의 동의 없이 제3자에게 민원인의 개인정보를 제공한 것으로 의심됩니다.5. 요약하자면 다음과 같습니다. ㉠2017.07.05. 및 2017.08.02. 이틀에 걸쳐 이루어진 총 6건의 사무처리에 민원인 본인으로부터 제출받은 신청서 원본 또는 ‘원본대조필’을 득한 사본의 우편수령 ㉡수차례 앞선 자료의 제출을 청 하였으나 거절한 사유를 공문으로 해명6. 끝으로 다시 한 번 본 민원에 대하여 신속한 업무처리 희망합니다.**우편물 수신처 :　대전광역시 중구 어덕마을로10번길 71-12, 1층",2017-12-28,,2018-01-04,맑은물사업소,처리완료,보안면
134,보행자길 위험요소  아이들이 위험합니다,"수고하십니다익산에 대규모 호텔과 센트럴 파크 근로자 아파트가 건립된다는 보도를 보았습니다익산에도 대도시 못지 않는 호텔과 근로자 아파트가 들어선다면 익산이 더욱 발전되고 살기좋은 도시라 생각합니다구분해서,  언제 완공되며 현재 진행 상황은 어떤지 많이 궁금합니다구체적이고 친절한 답변 부탁드립니다 ",2017-05-15,2017-05-15,2017-05-22,교통행정과,처리완료,부안읍
135,비젼세라믹 정문 앞 가로등 소등,전라북도 부안군 부안읍 봉덕리 250-1안전 팬스가 부셔진채 방치되어 있습니다. 조치부탁드립니다.,2017-03-27,,2017-04-04,보안면,처리완료,줄포면
136,도로에서 스프레이페인트칠 주위환경오염,"이미 여러 건의 민원 글이 올라와 있는 것을 알고 있습니다.기존의 글을 복붙합니다. 타인의 가족이자 소중한 자식인 반려견을 견주가 애타게 찾고 있음을 알고도,모른다고 발뺌하고 이후에 하트를 잡아먹은 고의성에 대한 공범자 4명의 가중처벌죄,점유물이탈횡령 및 동물학대죄, 축산물위생관리법 제7조 1항 1호/1항 2호 :허가되지 않는 노상에서의 불법 개도살 및 식용한 죄, 이를 위반시 축산물위생관리법 제 46조에 의거 10년 이하 징역, 1억 이하의 벌금에 처함이를 근거로 엄중처벌을 촉구합니다.하트 사건에 대해 시장님과 익산시에서 할수 있는 모든 것들을 해주세요유권자이자 익산 시민으로써 간곡히 부탁드립니다.민원이 많아 일일이 답변이 어려우신 줄 알고 있습니다만기존의 글을 복붙한 획일적 답변이 아닌 좀더 성의 있는 답변을 부탁드립니다.",2016-10-10,2016-10-10,2016-10-14,도로관리과,처리완료,부안읍
137,부안군 하청로 악취 민원,전라북도 부안군 부안읍 서외리 567-4이장소로 출근하는데 너무 워험합니다. 보훈회관앞 도로입니다. 맨홀이 너무 폭 파여 무심코. 운전하다가 갑자기. 차가 흔들릴정도로. 충격이. 심합니다. 하루빨리 보수해주십시요*  *(1/2) G: 2018/07/09 12:12:52(2/2) G: 2018/07/09 12:12:49G:  *,2018-07-12,,2018-07-23,친환경축산과,처리완료,부안읍
138,제설작업,영등동에 강아지 운동장 하나라도 생기게 해주세요 익산 ..참 좋아하는 도시인데 한국사람 5분의 1이 개 키운다고 함에도 불구하고 운동장 하나 없다는 게 아쉽네요.. 익산에서 인구와 개가 가장 많은 영등동에 하나 설치해주세요. 노지에 펜스 최대한 넓게 치고 3분의 1 지점에 펜스하나 쳐서 작은 쪽은 소형견들이 놀고 큰 쪽은 중대형견 들어가게 해주면 좋겠어요 딴 거 다 필요없고 잔디만 깔아서요..(물론 견주들 앉을 벤치와 사다리 허들 고리 기둥들이 있음 더 좋구요). 거북선 뒤쪽에 노지 있던데.. 얼른 부탁드립니다..하나쯤은 있어야 할 거 같아요. 강아지 키우는 가구가 늘어나고 있으니까요 이런 거 선도하면 익산시 이미지에도 좋을겁니다.,2016-12-29,2016-12-29,2016-12-30,도로관리과,처리완료,부안읍
139,부송중학교 뒷길 풀,"더운 날씨에 노고가 많으십니다.다름이 아니오라, 저는 중앙동 중앙로에서 작은 핸드폰매장을 운영하는 익산시민입니다.익산역 삼거리 ~ 구)경찰서에 이르는 중앙로에는 고정형 CCTV가 1시간 초과한 차량에대해서 단속을 하고 있습니다.우리 매장에 내방하는 고객의 경우 차량을 이용하여 오시는 경우가 빈번합니다.하지만 항상 고객들이 저에게 묻는 질문은 """"여기 단속안해요?""""입니다.저는 그럴때마다 """"1시간 단속유예이니 잠시 주차는 가능합니다""""라고 답변을 드립니다.열에 일곱 여덟은 그럼 나중에 다시 올게요라고 돌아가십니다.그 이유는 1시간 단속 유예라고 해도 재수없어서 단속되면 똥밟는거니...이번의 경우 내방하신 고객은 거동이 불편하시어 먼곳에 주차를 할 수 없어풍년제과 바로 앞 빈 주차공간 (버스 정류장 포켓)에 주차를 하셨습니다.그리고 5일이 지난 오늘 주차딱지를 들고 매장에 방문하셔서 주차단속을 당했으니그 요금을 저에게 달라고 요청하셨습니다. 저의 실수도 있었습니다.CCTV단속을 하니 거동이 불편하시더라도 먼곳에 주차를 하라고 말씀을 드릴걸후회하고 있네요. 과연 익산의 중앙이라는 중앙동에 이렇게 주차공간이 없어서야 되는지묻고싶습니다. 이런일은 의외로 빈번합니다. 익산시는 중앙동 상권을 살리고자문화 예술의 거리를 만들고 각종 홍보를 하지만 근본적인 대책 마련이 시급합니다.저도 차량을 이용하는 사람으로써 매번 드는 생각입니다. 주차공간이 너무 협소하고대로변에 주차하자니 단속CCTV 무서워서 주차를 못하겠고, 골목에 주차하자니 골목이좁아터지고 보안CCTV마저도 없으니 지난 2015년 장사를 시작하고 3개월동안무려 4번 테러를 당했습니다. 경찰서에만 2번을 신고했습니다. 뺑소니좀 잡아달라고...하지만 절대 잡지 못했습니다. 왜냐면 보안CCTV가 없기때문에 도저히 잡을 수가 없다고하더군요....그래서 대로변 CCTV사각지대에 주차합니다. 왜냐면 안찍히니까.뭔가 잘못되도 한참 잘못된것입니다.결론을 말씀드리자면, 중앙동 상권 살리자고 시예산 편성하고 홍보하고 이것저것많이 하시니 저도 고맙긴 합니다. 하지만 근본적으로 익산시 중앙동이 활성화 되기위해서는 운전자들의 접근성이 갖춰져야 할 것입니다.그리고 롯데리아 바로앞 포켓은 단속을 하지 않는것으로 알고있습니다.그런데 어째서 반대편인 풍년제과 앞 포켓은 단속을 하는지 의아합니다.버스 라인을 침범하지 않는 선에서 그 나머지 빈 공간에는 주차가 허락되지않는 것인가요...?",2016-08-26,2016-08-26,2016-09-05,도로관리과,처리완료,부안읍
140,황등-익산시내,흰 대형견 한마리 하고 작은 개 한마리가 돌아다니네요처리 부탁드립니다주로 서동로25길 27길 29길 등에서 목격 됩니다,2016-01-15,2016-01-15,2016-01-27,도로관리과,처리완료,진서면
141,(SPP-1802-0400219)가로등 고장 * 첨부파일촬영시간 안내(안전신문고 운영,전라북도 부안군 부안읍 봉덕리 157-2인도파소 고쳐주세요*  *(1/2) C: 2018/02/01 21:03:01(2/2) C: 2018/02/01 21:03:14G:  *,2018-02-04,,2018-02-13,부안읍,처리완료,부안읍
142,[생활불편신고]불법 주차,전라북도 부안군 상서면 용서리 514-3 에 대한 폐쇄지적도를 열람 하려고 합니다.어떻게 해야 합니까?,2017-08-18,,2017-08-18,건설교통과,처리완료,줄포면
143,상수도 수압공사 (1급폐암발암물질 -라돈-),"할랄식품단지 반대합니다저는 제아이들에게안전한 도시에서 살게해주고싶습니다성범죄도무서운데테러집단의 지역은 더 무섭습니다할랄식품테마단지와 도축,생산시설들이안들어온다해도무슬림 근로자들이 입국할것이고또한그사람들에게 150만원씩 정착금 지원은 더더싫습니다대한민국 국민들이 낸세금으로그사람들 정착금을 왜줘야합니까지금당장 영유아 보육비도 없어서 못준다고 싸우고있는데익산뿐아니라 다른지역에도 할랄식품단지를 대규모로 유치하겠다는걸봤는데이러다 나라 망합니다영국과같은실수를 하지않는 대한민국 이였으면 좋겠습니다.할랄식품단지 절대반대입니다",2018-09-18,2018-09-18,,,,부안읍
144,건물 부존재 확인요망,안녕하세요 저는부송중학교학생입니다저희학교 뒷길에 방학동안 풀이 많이 자라서 지나다니기좀힘들정도로 자랐습니다저와제친구들은 그길을 지나다가 풀에 긁혀서 살이긁혔습니다 저희학교뒷쪽(밭같은곳이에요)에 길이있는데그곳의 풀들을 깎아주시면 감사하겠습니다 담임선생님께 여쭤보니 시청과 주민센터에 민원을 넣으라고 하셨습니다 그래서 주민센터에 민원을 넣으려 했는데 시스템점검을한다고하여이렇 게시청에 민원을 넣게 됬습니다최대한 빠르게 깎아주시면 좋겠습니다감사합니다,2016-08-26,2016-08-26,2016-08-29,주택과,처리완료,부안읍
145,어곳2길  탑천다리옆 침수,7월3일 오후 4시9분경 터미널-익산역으로 가던 104번 버스가 전북제일고 정류장에서 멈추는 일이 발생하였습니다.분명 터미널방향에서 올 때만해도 멀쩡해 보였던 버스가 출발을 위해 시민들을 태우고 출발하려 하자 시동이 꺼지게 되었고 이에 시간이 5분가량 지체 되었습니다. 그리고 기사님께서는 101번으로 가실 수 있는 분들은 가시고 104번을 타셔야 하는 분들은 다음 곧 올 버스를 기다려 달라고 하셨습니다.하지만 버스 회사인 익산여객과 버스 기사님의 태도에 문제가 있습니다. 기존의 104번 타고 있던 손님들은 이로인해 약 10분 가량의 시간이 지체되었고 버스를 갈아타는 과정에서 기존분들을 먼저 배려하여 자리에 앉을 수 있도록 먼저 태워주셨어야 하지만 기존의 분들은 오히려 모든 분들이 서서 타게 되었습니다. 익산 여객의 경우 버스 안전점검 기사를 접한지 일주일 밖에 되지 않은 상황에서 이러한 상황이 발생했다는 것은 제대로 안전점검이 시행되지 않있다는 것입니다. 이번 사태로 인해 피해를 보신 분들에게 익산 여객은 사과와 보상을 해야 한다고 생각합니다. 또한 버스 안전점검 시 그 결과를 시민들에게 공개하여야한다고 생각됩니다.,2018-07-02,2018-07-02,2018-07-04,미래농업과,처리완료,부안읍
146,"군산시 답변을 볼 수 없는데, 개선이나 방법을 알려주셔야 할 듯",암행어사 게시판 봐주셨으면 합니다. 담당자 태도에도 질타를 해주셨으면 하구요 녹취를 오늘 했어야 하는대 못한게 한스럽네요,2018-09-06,2018-09-06,2018-09-07,정보통신담당관,처리완료,부안읍
147,방문요양요원 시내거주자만 가능한가요?,"모든 생명은 존중받아야만 함에도 불구하고, 행정편의적인 이유로, 산업논리로, 살생을 해야한다니 이런 법이 어디있습니까! 동물복지농장의 조건은 일반 공장식 사육장과는 다르며, AI 발병 가능성이 적다는 것을 누구보다 잘 알지 않습니까?  수많은 생명들을 소중히 여겨서, 단순한 편의를 위해 일괄적용하지 않기를 바랍니다. 당장 철회 부탁드립니다! 해당 농장에 대한 고소도 취하바랍니다!",2017-03-20,2017-03-20,2017-03-23,경로장애인과,처리완료,부안읍
148,,변산 자연 휴양림내 장애인 주차장 불법 주차 63로 8830,NA,전라북도 부안군 부안읍 연곡리 448-1?,,2017-03-16,,진서면
149,(SPP-1703-2100340)보도블럭 파손되어있어요,"<쓰레기 방치, 투기> 부안군 계화면 창북리 산 20-3번지와 부안군 동진면 당상리 산1,산2번지에 쓰레기 불법투기로 인하여 상당히 불편합니다 대책마련 부탁드립니다[  : 전북부안군 계화면 창북리 산 20-3, 동진면 당상리 산1, 산2 ] (1/3) G : 2017.03.19 14:06:09 (2/3) G : 2017.03.19 14:04:57 (3/3) G : 2017.03.19 14:05:54 A :  :  ",2017-03-21,,2017-03-31,푸른도시과,처리완료,부안읍
150,익산시유기견보호센터 사건,익산시 유기견 보호소 센터 사진을 보고 화가나고 경악합니다.보호소??그게 보호소 입니까?아이들 사랑하는 맘이 아니라그냥 직업일뿐이라고 생각하신다면그럼 더 제대로 직업의식 가지고 일하셨으면 좋겠네요 !봉사가 아니라 월급 받고 일하시잖아요?당신들 때문에 아이들은 안락사를 당할수도 있고아니면 당신들 덕분에 아이들이 새 주인을 만나 새로운 삶을 얻을수도 있어요그 곳 보호소 아이들 모두 ..사랑으로 대해주실수 없다해도최소한 생명에 대한 예의는 지켜주셨으면 좋겠네요 ..善因善果 惡因惡果,2016-11-09,2016-11-09,2016-11-10,축산과,처리완료,부곡1길
151,산림훼손 여부,"청정 부안군의 무궁한 발전을 기원합니다.저는 대전에 거주하면서 1년에 5회이상 부안군 위도에 바다낚시를 하러 다닙니다...천혜의 경관과 함께 여객선도 자주있고 물빠지면 바지락도 캘수 있고 초보 낚시꾼들이 접근하기 좋은곳이기 때문이지요..4년전 제가 위도를 방문하여 산주변에(위도면 진리 산218번지) 쌓여있는 폐타이어를 보고서 환경에 오염되지 않도록 적정한 처리가 필요하다는 민원을 제기한적이 있었습니다그때 민원회신이 온것은 적정하게 처리되도록 조치하겠다는 공문이었습니다(부안군 환경녹지과- 21479, 2013.6.10) 관련문서 첨부신속하게 민원을 처리하는구나 하고 부안군 공무원님들께 고맙게 생각하고 믿었습니다 하지만 지난 2주전 다시찾은 위도에서 등산을 하고, 쓰레기가 방치되었던곳을 우연이 방문해보니 너무 실망하지 않을수 없었습니다....4년전 민원을 제기했을때와 변화가 없이 쓰레기는 그대로 방치되어 있었습니다...적정하게 처리하겠다고 회신한 만큼 차후에 회신한데로 처리가 잘되었는지 확인해 보는게 공적인 업무를 수행하는 공무원들의 임무라 생각하는데...적정한 표현으로 그때만 넘기면 된다는식의 민원처리는 신뢰를 떨어뜨리고 국민의 원성만 키울뿐이죠시대적으로 공적인 업무를 수행하는 분들이 어려운 근무 환경 또한 이해 하지만 그럴수록 불신을 키우는 행정이 있어서는 안된다고 봅니다늦었지만 이번에는 버려진 폐기물이 방치되어 환경을 오염시키고 경관이 훼손되지 않도록 확실한 처리를 부탁드립니다...",2017-09-11,2017-09-11,2017-09-12,산림과,처리완료,고부면
152,시장님!! 부탁드리겠습니다,"안녕하세요. 저는 익산시 영등2동 제일4차 605동에 사는 지역주민이며,아이리더 어린이집 학부모입니다. 우연찮게 알게 된 익산열린신문에서 올린 기사(&ldquo;사람 잡는 방지턱&rdquo;)를 보고 경악을 금치 못하여 익산시에 글을 올립니다.사실 저는 매일 운동 삼아 아이 셋을 데리고 걸어서 어린이집에 가고자 하는 마음이 늘 있습니다. 하지만 어린이집 가는 길은 저 혼자 아이들을 데리고 갈 엄두가 나질 않습니다. 횡단보도만 덩그러니 그려져 있지만...그 길은 차량통행량과 과속, 또 양쪽으로 주차된 불법주차들 때문에 힘이 듭니다. 걸어서 5~10분이면 갈 거리를 전 늘 차로 아이들을 데려다 줍니다.차량이용 시 어린이집에 등&middot;하원을 할 때마다 역시나마 과속으로 달려오는 차와 불법 주차된 덤프트럭들로 시야가 가려져 위험천만하게 반사경을 보면서 조금씩 조금씩 앞으로 나와 집으로 가게 됩니다.저번 달에 그 횡단보도 자리에 방지턱을 설치하더군요!! 너무 반가웠습니다. 아이들을 키우는 부모로써 또한 그 길을 차량을 이용하거나 보행하기가 불안했는데...방지턱으로 인해 차량들이속도를 줄이면 사고 위험률이 낮겠구나 하는 생각을 했습니다.그런데 그 방지턱을 불과 생긴지 2주~3주만에 다시 깎고 방지턱 높이를 내리더군요!!그 이유는 바로 익산열린신문에서 기사를 올린&ldquo;사람 잡는 방지턱&rdquo;에 민원이 들어와서...깎는다고...시장님 익산은 여성친화도시이며, 저출산 문제로 인해 아이들이 행복할 수 있는 익산을 만들겠다고 지난 아빠랑 행복캠프에서 말씀하셨습니다. 아이들 양육비와 교육도 더 지원하시겠다고...근데 제일4차 부근에는 초등학교, 어린이집, 공원, 식당가, 골프장, 교회, 공장들이 들어서있고, 지역주민들이 공원과 그 뒷동네로 운동을 많이 다닙니다.  그 위험한 곳에 한 사람으로 민원으로 어찌 시에서 계획하여 진행되었던 방지턱을 한순간에 무너뜨릴 수 있습니까?? 시장님께서 직접 그 장소로 실사를 나와 보시면 아실겁니다. 그 위치가 얼마나 위험한지요...이제는 시장님께 방지턱이 아닌 신호등 설치를 요구하고 싶습니다. 작년 신호등 설치로 관할 시의원에게 건의한 바 있습니다. 관할 시의원님은 적극적으로 시민을 위해서 힘쓰셨지만, 정작 익산경찰서 도로교통과에서 승낙을 안 해 신호등 설치가 무산되었다고...그래서 결국 반사경 2개 설치가 전부였습니다. 그 횡단보도 자리는 사망사고 상해사고가 많이 접수된 곳입니다. 제가 직접 사고를 여러 번 목격을 하였고요, 어르신부터 아이들까지...같은 익산시이고 익산시민입니다. 서영등부락(공공미디어센터 앞)은 동네 입구 입구마다 100M 안 되는 거리에 신호등을 다 달았습니다. 동시신호로 진행되게끔... 시장님 제일4차 605동 뒤쪽과 공원 뒤쪽으로는 횡단보도가 아닌 신호등이 꼭 필요합니다. 아파트 뒤라고 안전지역이 아닌가요?? 605동 주민들은 과속으로 달리는 차량들로 소음도 만만치 않습니다. 그 불편을 10년을 넘게 참고 살았습니다. 도와주십시요!!  2018년 새해가 시작되었습니다. 익산시 지역주민의 안전과 행복을 위해서 꼭 신호등을 설치하여 주셨으면 합니다. 모두가 행복한 익산시민을 위해 힘써주시는 시장님 시청 관계자 선생님 꼭 부탁드리겠습니다.",2018-01-24,2018-01-24,2018-01-29,교통행정과,처리완료,변산면
153,군산시학교급식지원센터도 교체해야,"지역아동센터 식재료 납품에 대한 특정 지역아동센터의 지속적인 의혹제기에 대해서군산시학교급식지원센터 공식 입장을 전달합니다.첨부파일을 올리오니 참고바랍니다. 의혹과 궁금하신 사항이 있으시면 누구든지 직접 학교급식지원센터를 방문하시고, 친환경농산물에 대한 이해가 부족하시면 생산농가현장을 직접 방문하시길 바랍니다.언제든지 환영하겠습니다. 군산시학교급식지원센터 올림",2016-06-25,2016-06-25,,어린이행복과,처리중,부안읍
154,(SPP-1708-1100441)동진면 319번가로등이 번호도 녹슬어 안보이고 철사로,익산시 모현도서관내에 있는 체육관을 사용하는 시민 천백우입니다.도서관내 체육관내에 설치해 있는 자판기 가격이 너무 비싸 서민인 저희들이 사용하기에는적합하지 않은 것 같아 적어봅니다....장애인 운영한다면 마음도 몸도 힘든 사람들이니 이해하겠습니다만일반인이 관리하는 자판기 자격이 다른 공공기관 자판기보다 비싸 우리 같은 서민은 어려움이 있습니다.이점을 시정해주시기를 바랍니다...,2017-08-11,,2017-08-17,동진면,처리완료,오공로
155,토지사용승락서 관련,토지사용승락서 관련*스캔 참고,2018-01-16,,2018-01-24,푸른도시과,처리완료,백산면
156,동물보호소,익산시 동물보호소에 여기저기 말이많습니다요즘 시대가 어떤시대인가요?누군가에게는 가족될수도 있는 반려견들 보호소가 이렇게 열악해서 되는지요?동물보호소  소장님을 전격적으로 교체해주시고 새롭게 새단장하여 많은사람들에게 왔다갔다할수 있는 그런 좋은보호소로 만들어주세요 동물도 생명의 가치 그리고 존엄성을 지켜줘야 이 익산시가 더 낫아갈수 있다고 생각합니다 익산시에 살고 있는 주민으로써 너무가슴이 아픕니다 더 낫아가야 하기에그리고 지켜볼수 없는 대다수의 주민들을 대신해 이 글을 올립니다꼭 동물보호소 소장을 교체해주세요 동물의 생명을 쉽게 그리고 열악한 환경에서 보호도 하지못한채 무책임하게 동물보호소를 운영한 사람에게 다시는 맡아서 운영을 하면 안됩니다부탁드립니다 빠른시일에 검토하여 익산시에 있는 동물들을 보호할수 있도록 그리고 그들의 가족을 찾을수 있게 도와주세요...,2018-01-23,2018-01-23,2018-01-23,축산과,처리완료,축동안길
157,[다짐] 다시는 무주 관광을 가지 않겠습니다.,군청앞일인시위2016년 6월 21일 군청자치행정과로부터 이메일을 통하여 지난 번 일인시위 예고에 대한 답변을 받았습니다.답변의 내용은 6월 10일자 내용에 갈음한다 였습니다. 결국 무주군청은 주민과 군수와의 대화에 대해 전혀 노력하지 않는다는 것이 결론입니다.일인시위를 예고하고 많은 분들이 찾아와 시위까지 해서야 되겠냐. 군수와 중재를 해보겠다. 등등의 의견이 있었으나 군청의 확고한 입장은 군민과의 대화를 완전히 무시하겠다로 결론이 났습니다.이에 2016년 7월 1일부터 반디불축제가 시작되는 날짜까지는 군청 정문앞에서 반디불축제 기간중에는 예체문화관앞 사거리 다시 축제 후에는 군청 정문앞에서 매일 정오부터 1시간동안 무주군수 황정수의 퇴진을 요구하는 일인 시위를 시작합니다.,2016-09-07,,2016-09-20,자치행정과,처리완료,부안읍
158,(SPP-1711-1500378)가로등 불이 안 들어와요. 고쳐주세요. * 첨부파일촬,전라북도 부안군 줄포면 우포리 산 113-3가로등 불이 안 들어와요. 고쳐주세요.*  *(1/1) G: 2017/11/06 17:14:57G:*,2017-11-15,,2017-11-21,줄포면,처리완료,계화면
159,자동차불법등화장치,전라북도 부안군 부안읍 봉덕리 856-3보행자들이 불편해합니다 보수해주세요*  *(1/1) C: 2018/04/16 09:26:44G:  *,2018-04-16,,2018-04-18,건설교통과,처리완료,부안읍
160,태양광단지와 관련하여,안녕하세요핸드폰 동영상 시청이 운동에 지장이 된다거나 위험하다면 티비도 달지 말으셔야죠아니면 각각의 런닝머신에 티비를 달아 주시던지요그게 진정한 해결책 아닐까요??예산이 안된다면 좀 더 저렴하게 와이파이를 달아주세요내년에 달아주실건 아니죠???뭔 일 처리를 이렇게 하시나요....좀 빨리 해주세요!!!!!!이러니 시정에 대한 신뢰가 바닥인겁니다빨리 해주시기 바랍니다!!!!!!!!,2018-03-18,2018-03-18,2018-03-20,민생경제과,처리완료,부안읍
161,전북익산유기보호소 신고합니다,시에서 관리하는 보호소가 상태가 저게 뭐죠?사진 보고 경악을 금치 못했습니다. 정말 장난 하나요?유기동물 보호소는 말 그대로 유기동물을 보호하는 공간으로 사용되어야 하지 인간 말종들 수당 타먹기 위한 수단으로 존재하는 곳이 아닙니다. 얼마나 많은 사람들이 분노하는지 좀 보세요.말 못하는 짐승을 어떻게 대하는지를 보면 그 나라의 국격이 보인다는 말이 있습니다.전라북도 익산 다시 봅니다. 이정도밖에 안되는 시인지는 몰랐네요. 당장 보호소 관리 필요합니다.,2016-11-08,2016-11-08,2016-11-10,축산과,처리완료,상서면
