"순번","민원제목","민원내용","민원등록일","민원수정일","민원답변일","처리부서","진행상태","민원인주소_법정동"
216,"[생활불편신고]불법 주차","전라북도 부안군 부안읍 봉덕리 산 11-28교동1,길 003가로수로장*  *(1/1) C: 2018/06/01 20:10:39G:  * ","2018-06-02",,"2018-06-14","건설교통과","처리완료","부안읍"
217,"체육시설설치요청","군수님, 안녕하십니까? 자주뵙는 오수 풍물단원 황의민입니다.오수 의견공원에 있는 체육관을 8년 재 사용하고 있습니다.그런데 임실읍의 헬스실과는 너무 수준차이나서 불만입니다.다 요청할 수는 없고 꼭 필요한 것 하나만 구입해서 설치해주시면 감사하겠습니다.레그컬이 중요한 운동기구인데 그게 없습니다. 그리고 아령도 1, 3, 5 kg짜리가 필요합니다. 감사합니다.","2016-11-20",,,"군수실","처리완료","계화면"
218,"3산업단지 버스노선 문의","솜리예술회관 시립예술단 공연은 보고나서....화요일 저녁마다 시립예술단 공연을 관람하면서 느낀바가 있어 몇 가지 생각을 말씀드리고자 합니다.매주 빠지지 않는게 전통무용공연 같은데, 매번 비슷한 살풀이(여자 혼자 흰색 한복 입고 춤추는 것)나, 한량무(남자가 혼자 부채춤 추는 것)에 축 처지는 음악....어차피 하는 공연인데 좀 성의 있는 공연은 안 되는 건가요?이번 주에도 합창단 공연은 나름 노래도 좋고 율동도 하면서 잘한 것 같은데, 무용공연은 매번 비슷한 내용에 비슷한 의상과 음악  너무 식상한 느낌입니다.시민들을 위한 공연이라면 좀 더 다양한 공연을 기획하심이 어떨까요?가끔은 아이돌 칼군무도좀 보고 싶고, 발레, 현대무용, 스트릿댄스 등 좀 더 다양한 공연을 기대하는건 익산시민으로서 너무 무리한 요구인가요?담당자의 성의 있는 답변 기대합니다.","2018-08-15","2018-08-15","2018-08-16","교통행정과","처리완료","부안읍"
219,"장애인콜택시 기초생활수급자 할인","전주 군산보다 비쌉니다 부송동코아루25평 2동 기준층2억6백에 확장비770만원 별도라고합니다. 인구40만 무너지니 이제와서 출산아 지원금 많이주면 머하나요?  아이셋이랑 전세살고있는데 타도시로 이사가야겠어요.. 익산 원대서 일하지만 전주 에코시티나 분양받던지 군산아파트분양받던지 해야겠네요.. 아니 사람들이 편안하게 내집걱정 없이 해야 익산 와서 살지 않나요?? 일자리도 마땅히 없는데 신규아파트가격마저 비싸다면 누가 익산서 살고싶을까요?? 건설사들도 익산시민들이 호구로 보이나봅니다 경기도 남양주 라온프라이빗2000세대분양가도 평당 700선이라던데.. 대단지 어양이편한도 평당735였죠... 익산 땅값이 경기도보다 비싼가요?? 건설사가 이름있는 것도 아니고..","2017-02-14","2017-02-14","2017-02-16","교통행정과","처리완료","부안읍"
220,"뭡니까?","익산시에 거주하는 시민 입니다.지난주에 금마에 있는 서동 공원 나들이를 갔다가 주차장에서 사고가 날뻔   했습니다.아이가 오토바이 비슷한걸 타고서 갑자기 튀어나와 사고가 날뻔 했습니다.다행이 사고는 나지 않았지만 심장이 멈추는줄 알았어요. . .주차장을 둘러보니 여기저기 4대정도 전동으로 움직이는것들이 보이더군요주차장 입구에 현수막의 내용이 공원내에서는전동으로 움직이는 이동수단의 공원 출입이 금지되어 있다는 내용의 문구가 적혀 있는걸 확인 했습니다.그런데 공원 입구 상가에서는 전동류의 이동수단을 버젓이 임대하는 영업을 하고 있는걸 보았습니다.이렇게 위험천만한 장소에서 어떻게 영업을 하는지 정말 이해가 되지 않습니다.만약 내가 사고를 내어서 아이가 다쳤다면 누구의 책임인가요?그리고 공원 관리소 에서는 현수막만 걸면 책임을 다한다고 생각하는건지. . .공원내에서도 전동류의 이동수단이 많이 보였습니다.  관리소 측에서는 단속을 않하고 있던데 그 이유를 알고 싶습니다.언젠가 사고가 발생하고누군가 피해자가 생긴다면 그때 대응을 하실건지?서동공원을 자주 찾는 사람으로서 정말 걱정이 되어서 이렇게 글을 남깁니다.공원 내에서 전동류의 이동 수단이 출입이 금지 되어 있다면공원 관리소 측에서도 현수막 문구가 아닌 행동으로 확실하게 통재를 해주세요.그리고 시청 공무원님 께서는 현장에 한번 나와서 보시고 문제의 심가성을 확이해 보았으면 합니다.","2016-03-12","2016-03-12","2016-03-16","유적전시관","처리완료","변산면"
221,"재활용쓰레기수거","철길마을 바로 옆에 거주중인 주민입니다2015년 불법건축물 강제 철거가 이루어진 철길마을에또다시 불법건축물들이 들어서고그것도 모자라 새까만 그늘막들이 쳐져있어미관상 보기도 좋지 않을뿐더러해가지고 나면 무섭기까지 합니다더이상 불법으로 개인이 사용할수 없게끔나무를 심고 벤치를 놓아주세요개인소유지도 아닌곳에 개인이 무단으로 사용하는것도 모잘라연탄불 가스냄새, 쫀드기 꿉는 연기 제발 그런것좀 없게 해주세요쾌적한 경암동이 될수 있게 간절히 부탁드립니다","2018-05-10","2018-05-10","2018-05-14","청소자원과","처리완료","주산면"
222,"신호위반카메라","오늘아침 익산 부송동의 초미세 수치는 70이 넘었습니다 어플상으로는 40대 후반이더군요 개인측정기와 수치차이가 많이 난다는 것도 화나지만 40대 수치에도 안일하게 3살 4살 아이들이 어린이집 놀이터에서 놀고있는 모습에 더 화났습니다 심지어 공식 측정수치상 미세 수치는 70정도 됐는데 말이죠비단 일선에서 근무하시는 교사들만을 탓할것은 아닙니다 돈도 들고 지식을 갖추기 위해 공부도 해야하는 미세먼지 정책을 개개의 원이나 학교에서 수용하기는 부담스러운게 사실익 때문입니다이럴때 지자체가 나서야 하는 것 아닐까요?전국적으로 악화된 공기질을 어찌할 순 없지만 학교에서, 사업장에서 실내공기 관리하고 고농도일땐 실외활동 금지한다면 우리의 건강을 지킬 수 있을 것입니다미세먼지 고농도 전국 1위 익산이 부끄럽지 않으신가요? 아이들의 건강이 어른들의 무관심과 무지로 인해서 망쳐지는것이 두렵지 않으신가요? 오죽하면 엄마들이 뭉쳐서 민원을 넣겠습니까 그 이유가 궁금하지 않으신가요? 함께 좋은 도시를 만들고 싶지 않으신가요? 서로 관할이 아니라고 이리 미루고 저리 미루는 사이에 우리는 점점 더 병들어 가고 있습니다 더이상은 미루지 말고 행동해야 할 때 입니다지자체 장은 시민의 목소리에 귀을 기울이고 민심을 읽으세요정책이 성립되고 변화가 일어나기 전까지 저희는 멈추지 않을 겁니다","2018-03-27","2018-03-27","2018-03-27","교통행정과","처리완료","부안읍"
223,"익산역서편주차장 주차요금관련","가상재난 발생상황 공모전 개최를 통한 지역주민들의 안전의식 제고 방안","2017-01-17","2017-01-17","2017-01-18","교통행정과","처리완료","천마산로"
224,"월간 사보 신청합니다 (장수군 소식지)","p군수님 안녕하세요./p

p저는 계남면 덕곡마을에 5년 전에 정착해서 살고있는서성석입니다./p

p이렇게 군수님께 직접 글을 쓰게 된 것은 .다름아니라 저희 동네 사과밭에서 나는 소음문제를 해결해 주십사하고 간청하기 위해서 입니다./p

p재작년 까지만 해도 저희 동네는 조용하고 한적하고 평화로운 작은 시골 마을이었습니다./p

p그런데 작년 이맘 때 쯤,동네 바로 옆에서사과농사를 하는동네 분이 사과밭에 스피커를4군데 정도 설치하시더군요./p

p저는그당시 일하는 중에무료해서 음악을 들으려고 설치하는 것이라고 생각했습니다. 아니면 고전음악을 들려 주어서 좋은 음악을 듣고 자란 좋은 몸에 좋은사과를 재배하려고 하는 줄 알았죠./p

p그러나 제 생각과 너무 달랐습니다./p

p새벽 5시 반 부터 밤 8시까지 동네를 울려대는 소리는 음악소리, 징소리, 짐승울부짖는 소리, 유리창 깨지는 소리가 짬뽕으로 섞여서 계속 반복되는 아주 듣기 싫은 소음이었습니다./p

p그 소리는 새를 쫓기위해 제작된 소리들이라고 하더군요./p

p새를 쫓으려면 얼마나 소리가 커야 될 것이며 그 끔찍한 소리를 듣고 살아야하는 사람은 어떻게 견딜 수 있겠습니까?/p

p그래서 며칠 참다가 도무지 못견디겠어서 찾아가서 너무 시끄러워서 살 수가 없으니 안 틀었으면 좋겠다 고 말씀드렸더니 새를 쫓으려고 나도 돈들여서 설치한 것이다 면서 무시하고 계속 틀더군요./p

p그 후에 또 참을 수 가 없어서 한차례 더 찾아가 항의했더니 스피커 트는 시간을 조금 조절하더군요. 아침 6시 부터 저녁 8시 정도 까지로요./p

p경찰서에 고발도 하고 싶고, 정말 스피커를 몽둥이로 다 부숴 버리고도 싶었진만 참고 또 참았습니다. 객지에 와서 사는데 동네 분들하고 원수지고 싶지 않아서죠./p

p동네 이장님이나 어른들에게 말씀드려봐도 과수원 하는 집이니 이해해 주는 것이 좋겠다라고 합니다./p

p그러더니 이장님은 한술 더 떠서 본인 사과밭에도 카바이트로 작동하는 폭음기를 설치하시더군요./p

p고발을 할 것인가 참고 넘어갈 것인가, 싸울 건가 참을 건가 의갈등으로 저는 작년 한 철을 너무 힘들게 보냈습니다./p

p그런데 지난 주 부터 다시 그 소리가 시작되었습니다./p

p아침 6시 조금 넘으니까 틀더군요. 지금도 매일 새벽마다 그 나쁜 소리를 듣고 잠을 깹니다./p

p새가 쫓겨 가는것이 아니라 제가 머리가 돌아서 쫓겨 나갈 지경입니다./p

p사과 농사를 짓는 다른 동네에서는 그런 소리가 나지 않습니다./p

p군수님 댁에도 사과농사 짓는다고 알고 있는데 그런 방법을 사용해서 새를 쫓지는 않는것으로 알고 있습니다. 다른 사람에게 피해가 되지 않도록 그물을 친다든지 끈을 두른다든지 하는 방법을 사용하고 있는 것으로 알고 있습니다./p

p왜 유독 저희 동네 사람들만 이런가요?/p

p다른사람의 피해에 대해서는 나몰라라 하고 자기 농사만 잘 되면 되는것인가요?/p

p군수님. 한갖 개인들 간의 일이라고 가볍게 생각하지 말아 주시기 바랍니다./p

p소음공해는 엄연한 불법행위이고, 다른 사람을 고통스럽게 하는 것을 알면서도 시정하지 않는다면 더욱 큰 범죄행위입니다./p

p도시에서는 층간소음으로 사람을 죽이는 일이 비일비재하게 발생하고 있는 것이 요즘의 세태입니다. 그것도 본인 집에서 나는 소리가 큰 지 모르고, 아니면 아이들이 모르고 발생하는 일에 대해서도 생기고 있는 끔찍한사건들이지요./p

p지금 저희 동네에서 발생하는 일은 다른 층간소음과는 전혀 질적으로 다릅니다./p

p1)소음발생이 새벽부터 밤까지하루 종일틀어댄다./p

p2)다른 사람이본인의 소음으로인해 고통받고 있는 것을 알고 있으면서 계속튼다./p

p3)다른 방법으로 새를쫓을 수있음에도 본인의 욕심으로 남에게 고통을 주는 방법을 계속 고집한다./p

p4)다른 동네에서는 동네어른들이 반대해서 못한다는데 우리 동네는 나이드신 어른들만 있어 아무도 이런 행위에 대해못하게 하는 사람이 없다./p

p이런 문제에 대해 장수군청과 사과협회, 그리고경찰관서 등과협의를 하여적극적으로 소음공해를 해결할 수 있는 방법을 찾아 주시기 바랍니다./p

p감사합니다./p

p/p

p/p

p/p

p/p","2016-07-24",,"2016-07-25","대외협력","처리완료","부안읍"
225,"불법현수막","이리중앙초등학교앞 신호위반 및 속도위반 단속 카메라가 있었음합니다  신호등이 있음에도 불구하고 보행자 신호를 무시하고 다니는 차량이 너무 많습니다 학교앞임에도 불구하고 속도제한은 고사하고  신호조차도 지켜지지 않고있습니다 사고당할뻔한적도 여러번 보았습니다  부디 꼭 단속카메라가 설치되어  위험한 아이들의 등하교길이 조금이나마  안전하게 해주세요","2018-04-29","2018-04-29","2018-05-02","도로공원과","처리완료","부안읍"
226,"부안군청 여성취업상담사 존재이유에 대하여","전라북도 부안군 부안읍 봉덕리 266가로등 고장*  *(1/1) C: 2018/02/01 18:59:56G:  *","2018-04-13",,"2018-04-20","주민행복지원실","처리완료","행안면"
227,"버스 시간을 지켜주세요","안녕하세요 시장님 추우신데도 익산을 위해서 힘써주셔서 감사드립니다.다름이 아니라 교통건에 대하여 문제점 및 건의 사항이 있어서 이렇게 글을 남기게 되었습니다.문제점1. 제일3차 정문 부터 우체국 방향은 홀수 짝수일 격일제로 주차할 수 있게 되어있습니다.  (첨부파일 참조. 출처 개인촬영)2. 자연드림 파라팜미용실 제일3차목욕탕 삼거리  (첨부파일참조, 출처 네이버)1,2 모두 주,정차 때문에 매 출퇴근 시간에 교통혼잡이 발생되고 있습니다.무인 단속 카메라가 설치는 되있지만 과연 이게 운영이 되고 있는것인지 과태료는 부과 되고 있는 것인지 의문이 들정도로 주차를 해놓고 있습니다.예비적 건의 사항1. 엄격한 단속 (순찰 및 과태료 부과)2. 일방통행 실시 (교통의 단순화)지금 까지 긴글 읽어주셔서 감사드립니다.2017년 올해 수고 하셧습니다. 2018년에도 밝은 익산을 만들어 주세요새해 복 많이 받으세요 ","2017-09-22","2017-09-22","2017-09-25","교통행정과","처리완료","행안면"
228,"미세먼지!!","안녕하세요. 수고 많으십니다. 몇일전 익산을 방문했다가 이상한 좌회전 표시판을 보았습니다. 본인은 좌회전을 하려고 가장 왼쪽 차선에 대기하고 있었으나 표지판은 직진을 하라고 해서 많이 당황스럽고 위험했습니다. 이 표지판이 잘못 된 것인지, 아니면 익산에서는 2차선에서 좌회전을 하도록 하는 건지? 아니면 뭔가 색다른 좌회전 방법이 있는건지...궁금합니다. 답변 부탁드립니다. ","2016-06-01","2016-06-01","2016-06-02","여성보육과","처리완료","모악로"
229,"[생활불편신고]장애인 전용주차구역 불법주차","안녕하세요, 부안군의 격포를 방문하여 좋은 시간을 보낸 시민입니다. 그런데 격포버스터미널의 여자화장실 안에 붙은 안내문,즉 변기의 입장에서 자신을 깨끗하게 사용하면 자신이 본 비밀을 지켜준다는 문구가 화장실 안쪽 문에 붙어있는데 이는 현재 정부가 근절하겠다고 하고 있는 불법촬영을 연상시킬수 있는 불쾌한 문구라고 생각됩니다. 따라서 문구의 수정을 요구합니다.감사합니다.","2017-11-10",,"2017-11-20","주민행복지원실","처리완료","부안읍"
230,"동산동동신아파트상가앞도로가많이패여있어요","동산동동신아파트 정문 맞은편 상가앞 도로가 많이 패이고 횡단보도 선 또한 없어진지 오래입니다.몇차례 건의를 하였으나 시 예산이 없어서 안된다고 하였습니다. (2015년)하지만 더이상 방치 하면 차량 손상뿐 아니라 시민들이 횡단보도로 다닐 시 넘어질 염려가 우려 됩니다.또한 상가 앞쪽으로 방지턱이 없어서 어린이들이 횡단보도로 건널 시에 위험성이 있으므로 방지턱을 해 주시면 감사 하겠습니다.  (신호등 없음)","2016-02-24","2016-02-24","2016-02-26","도로관리과","처리완료","변산면"
231,"전국에서 2번째로 비싼 상하수도요금 내려주세요.","시정업무에 수고 많으십니다찜질방쪽에서 올라가는 등산로 입구 부터 정비해놓은 포장로가 기분좋게 하는 산책로의 모습으로 변신해 주셔서 감사드립니다. 나무를 잘라 쿠션역활까지 해주니 더욱 상쾌합니다... 지금은 많이 유실되고 부서져서 조금밖에 없지만...익산의 대표산인 미륵산 정상에 설치된 벤치가 세월의 무게를 이기지 못하고 낡고 훼손되어 쉼터가 흉물스러운 모습으로 자리하고 있군요. 코팅이 벗겨져 썩고 한곳은 나무목이 빠져서 제구실을 못하고 있는 실정입니다힘겹게 정상을 향하여 올라가서 잠깐의 휴식을 취하려고 하니 심란한 모습의 벤치가 마중을 하긴 하지만...어찌 앉고 싶은마음이 싹~ 사라지게 만듭니다미륵산을 방문하는 많은 등산객들의 안락한 휴식처가 되었으면 하는 바램으로  올려드립니다참고하시어 개선조치 바랍니다감사합니다","2018-08-23","2018-08-23","2018-08-29","하수도과","처리완료","부안읍"
232,"도로반사경","보행로에 차량 진입금지 3면 표지판 설치","2017-11-09","2017-11-09","2017-11-15","교통행정과","처리완료","호반로"
233,"익산시내버스","저는 익산시 마동을 본적을 두고 20년전에 경기도로 이사를 했습니다몇일전에 건설업체 직원이 익산 마동 고쿠로 음식점을 포함한 부지에 아파트를 짖는데 조부모님의 토지가 있어서 인감날인을 받으로 왔었습니다. 그런데 이야기중에 고꼬로 음식점 (익산시 마동 170-48) 부지에 있는 나무가 수령이 650년이상 되었는데 역사적 가치가 있어서 1억원을 들여서 강원도 화천군으로  이식을 한다고 하더군요.제가 어린시절에 조부님으로부터  구) 이리시내에서는 가장 오래된 나무이고, 익산의 보물이라고 들었습니다.  잘 검토하시고 650년이상 된게 사실이라면 그 자리에 보존해 주는게 좋겠지만 부득히 이전을 해야 된다면 타지역으로 이전하시지 마시고 구) 이리시 내로 이전 해주실것을 부탁드리겠습니다.   ","2017-08-01","2017-08-01","2017-08-03","교통행정과","처리완료","부안읍"
234,"용도변경의건","익산유기견보호소 실태를보았습니다 어린강아지부터 늙은강아지까지 보호하고있는보호소에서 관리도제대로 받지도못하고 뒷목과 멱살을 아무렇게잡아올리질않나 주인이잃어버린강아지를찾을수있게올려놓는사진엔 발로찍었는지 알아볼수없는사진들로가득하고 세금으로운영하는보호소가이래두되는건가요 제일화가났던건 쇠파이프같은막대기로아이를위협하는사진이였습니다 이게말이나됩니까 안그래도 버려졌단생각을가지고있을아이들게게 위협이라뇨 사랑으로감싸줘도 모자를판에;익산시청관계자분 빠른시일내로 바른조치부탁드리겠습니다 제발요;","2016-11-14","2016-11-14","2016-11-16","도시재생과","처리완료","부안읍"
235,"동산동 우체국앞 하수구악취문제","영등동 FM치과 옆 신발가게 두 곳은 지도를 받아도 별다른 차이를 모르겠네요.불법행위 및 불편함에 대해 민원 요청하는 사람이나 단속 공무원들 지도사항 정도는 아주 우스운가 보네요.다시 한번 불법사항에 대한 강력한 단속(벌칙금,압수 등) 바랍니다.수고하십시요.","2018-05-12","2018-05-12","2018-05-16","하수도과","처리완료","부안읍"
236,"인도 및 이정표 정리 요청","안녕하십니까. 저희는 대전에 기반을 둔 (주)디엔아이라는 중소기업 입니다.화재 시 가장 기본이 되는 소화기를 효율적으로 관리하기 위하여 만든 제품으로","2017-01-19","2017-01-19",,"도시계획과","처리중","부안읍"
237,"소산리 575-5 외 3 토지 관련","지번 : 전라북도 부안군 상서면 감교리 448-8불법건축물 유무 확인바랍니다.","2018-08-03",,"2018-08-03","푸른도시과","처리완료","부안읍"
238,"무허가건물 확인 요청의 건","정당하고 합당한 공사라면 공사장 연혁 관리감독 전화번호 안내판도 없이 일주일 전부터콘크리트 바닥 뜯어내고 새벽 5시 해도 뜨기전부터 공사 소음으로 고통을 주는데 항의해도 감독관도 볼수없어 용역 일꾼들만 있으며본 민원인 집과 공사현장이 불과 5미터 거리임에도 그 어떤 소음 진동 방지대책도 없이 무책임하게 공사를 진행하는바 민원을 제기합니다","2018-01-18",,"2018-01-22","민원소통과","처리완료","인북로"
239,"기간제 체용에 대한 문의","전라북도 부안군 부안읍 서외리 455-41예술회관 가로등 꺼짐","2017-05-03",,"2017-05-15","자치행정과","처리완료","줄포면"
240,"(SPP-1805-1000293)86마 8079횡단보도 주정차 * 첨부파일촬영시간 안","전라북도 부안군 부안읍 서외리 42-78가로등 불이 안켜져요*  *(1/1) G: 2018/05/03 00:01:55G:  *","2018-05-10",,"2018-05-17","건설교통과","처리완료","변산면"
241,"아진짜 공원에소음소음소음!!!","아진짜미친것들 몇번째여기다가글을처올리는건지ㅡㅡ 여덟시만되면 영등동 시민공원에 운동처한다고음악크게틀어놓아서 스트레스받는다고 몇번이나글을처썼는데 시정한담서요시정한담서요 관리자인지먼지한테 얘기한다면서요 얘기를처한건지만건지 그관리자가말을처듣고도 지맘대로하는건지 여전히음악소리때문에시끄럽다고 시끄럽다고 아니 사람말이말같지가않나진짜 전달을하려면똑바로처해서 뭔가달라진점이잇어야지 미세먼지처먹고황사처먹고남한테소음피해주면서 지들은음악처틀고몸흔들면다인가진짜 나이처먹고지들생각밖에할줄 모르는건가 사람진짜정신병걸리게하려고작정햇나이인간들이 말귀를못처알아먹네요 남한테피해는안줘야하는거아닌가?저녁시간에 왜내가내집에서맘편히쉬지도못하는건지?????????? 경찰에신고라도해야하나요? 주의를주긴하는건지요? 아컴퓨터앞에처앉아서맨날똑같은답변만처달지말고행동으로보이라고요","2016-05-30","2016-05-30","2016-06-14","체육진흥과","처리완료","변산면"
